61476	Timema cristinae	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Phasmatodea	family	Timematidae	genus	Timema
48717	Tetrodontophora bielanensis	kingdom	Metazoa	phylum	Arthropoda	class	Collembola	order	Poduromorpha	family	Onychiuridae	subfamily	Tetrodontophorinae	genus	Tetrodontophora
1323568	Tanzaniophasma sp. AD-2013	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Mantophasmatodea	family	Tanzaniophasmatidae	genus	Tanzaniophasma
50597	Stylops melittae	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Strepsiptera	family	Stylopidae	subfamily	Stylopinae	genus	Stylops
288127	Tetrix subulata	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Orthoptera	family	Tetrigidae	subfamily	Tetriginae	genus	Tetrix
1323543	Tenthredo koehleri	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hymenoptera	family	Tenthredinidae	subfamily	Tenthrediniinae	genus	Tenthredo
1254495	Xenophysella greensladeae	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hemiptera	family	Peloridiidae	genus	Xenophysella
537462	Triodia sylvina	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Lepidoptera	family	Hepialidae	genus	Triodia
1323544	Trichocera saltator	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Diptera	family	Trichoceridae	genus	Trichocera
301293	Velia caprai	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hemiptera	family	Veliidae	subfamily	Veliinae	genus	Velia
670663	Triarthria setipennis	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Diptera	family	Tachinidae	subfamily	Tachininae	genus	Triarthria
1323565	Lepicerus sp. AD-2013	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Coleoptera	family	Lepiceridae	genus	Lepicerus
279416	Inocellia crassicornis	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Raphidioptera	family	Inocelliidae	genus	Inocellia
1323538	Gyrinus marinus	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Coleoptera	family	Gyrinidae	genus	Gyrinus
1323563	Gryllotalpa sp. AD-2013	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Orthoptera	family	Gryllotalpidae	subfamily	Gryllotalpinae	genus	Gryllotalpa
707599	Grylloblatta bifratrilecta	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Grylloblattodea	family	Grylloblattidae	genus	Grylloblatta
603693	Isonychia bicolor	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Ephemeroptera	family	Isonychiidae	genus	Isonychia
263930	Yponomeuta evonymellus	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Lepidoptera	family	Yponomeutidae	subfamily	Yponomeutinae	genus	Yponomeuta
287248	Zygaena fausta	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Lepidoptera	family	Zygaenidae	subfamily	Zygaeninae	genus	Zygaena
759921	Essigella californica	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hemiptera	family	Lachnidae	genus	Essigella
1323562	Eurylophella sp. AD-2013	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Ephemeroptera	family	Ephemerellidae	genus	Eurylophella
516507	Euroleon nostras	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Neuroptera	family	Myrmeleontidae	subfamily	Myrmeleontinae	genus	Euroleon
1323537	Empusa pennata	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Mantodea	family	Empusidae	subfamily	Empusinae	genus	Empusa
158441	Folsomia candida	kingdom	Metazoa	phylum	Arthropoda	class	Collembola	order	Entomobryomorpha	family	Isotomidae	subfamily	Proisotominae	genus	Folsomia
1049336	Ephemera danica	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Ephemeroptera	family	Ephemeridae	genus	Ephemera
279269	Cercopis vulnerata	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hemiptera	family	Cercopidae	genus	Cercopis
89837	Cryptocercus wrighti	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Blattodea	family	Cryptocercidae	genus	Cryptocercus
126173	Cordulegaster boltonii	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Odonata	family	Cordulegastridae	genus	Cordulegaster
7515	Ctenocephalides felis	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Siphonaptera	family	Pulicidae	subfamily	Archaeopsyllinae	genus	Ctenocephalides
212616	Chrysis viridula	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hymenoptera	family	Chrysididae	subfamily	Chrysidinae	genus	Chrysis
438502	Campodea augens	kingdom	Metazoa	phylum	Arthropoda	class	Diplura	family	Campodeidae	genus	Campodea
36942	Blaberus atropos	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Blattodea	family	Blaberidae	subfamily	Blaberinae	genus	Blaberus
185833	Boreus hyemalis	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Mecoptera	family	Boreidae	genus	Boreus
173775	Aretaon asperrimus	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Phasmatodea	family	Heteropterygidae	subfamily	Obriminae	genus	Aretaon
52612	Calopteryx splendens	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Odonata	family	Calopterygidae	genus	Calopteryx
1476881	Baetis sp. AD-2013	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Ephemeroptera	family	Baetidae	genus	Baetis
172808	Bittacus pilicornis	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Mecoptera	family	Bittacidae	genus	Bittacus
911381	Aposthonia japonica	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Embioptera	family	Oligotomidae	genus	Aposthonia
